Dia,Susceptibles,Infectados,Recuperados,Muertos,Infectados_Acumulados,R0
57,998796,571,535,98,571,0.030685920577617327
58,998751,574,570,105,574,0.005253940455341506
59,998701,597,592,110,597,0.04006968641114982
60,998644,626,614,116,626,0.048576214405360134
61,998588,655,635,122,655,0.0463258785942492
62,998531,669,669,131,669,0.021374045801526718
63,998490,664,703,143,669,-0.007473841554559043
64,998434,684,735,147,689,0.030120481927710843
65,998375,708,762,155,713,0.03508771929824561
66,998311,723,805,161,728,0.0211864406779661
67,998256,733,840,171,738,0.013831258644536652
68,998202,734,885,179,739,0.001364256480218281
69,998142,753,922,183,758,0.025885558583106268
